dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,3.115114,5.338367,2.854955,0.775627,-0.071606,-0.229786,5.197714
0.050000,3.132820,5.304097,2.893529,0.771475,-0.083049,-0.228853,5.180902
0.050000,3.149850,5.269752,2.931865,0.766708,-0.095341,-0.245839,5.164555
0.050000,3.166212,5.235371,2.969940,0.761512,-0.103919,-0.171577,5.148674
0.050000,3.181923,5.200982,3.007749,0.756167,-0.106894,-0.059491,5.133256
0.050000,3.197002,5.166606,3.045286,0.750753,-0.108291,-0.027946,5.118293
0.050000,3.211465,5.132264,3.082549,0.745262,-0.109819,-0.030551,5.103778
0.050000,3.225331,5.097979,3.119532,0.739663,-0.111967,-0.042960,5.089702
0.050000,3.238618,5.063769,3.156232,0.733989,-0.113495,-0.030568,5.076054
0.050000,3.251343,5.029654,3.192642,0.728208,-0.115602,-0.042145,5.062825
0.050000,3.263524,4.995654,3.228758,0.722321,-0.117753,-0.043000,5.050005
0.050000,3.275177,4.961787,3.264575,0.716326,-0.119891,-0.042769,5.037583
0.050000,3.286319,4.928069,3.300086,0.710227,-0.121991,-0.041997,5.025548
0.050000,3.296967,4.894516,3.335287,0.704025,-0.124029,-0.040760,5.013889
0.050000,3.307137,4.861147,3.370172,0.697701,-0.126485,-0.049125,5.002596
0.050000,3.316846,4.827974,3.404737,0.691287,-0.128281,-0.035919,4.991657
0.050000,3.326108,4.795014,3.438974,0.684742,-0.130899,-0.052368,4.981062
0.050000,3.334940,4.762279,3.472879,0.678107,-0.132699,-0.036001,4.970801
0.050000,3.343356,4.729783,3.506447,0.671367,-0.134809,-0.042190,4.960862
0.050000,3.351372,4.697538,3.539674,0.664525,-0.136832,-0.040451,4.951236
0.050000,3.359001,4.665556,3.572552,0.657574,-0.139022,-0.043802,4.941913
0.050000,3.366257,4.633850,3.605079,0.650530,-0.140869,-0.036941,4.932883
0.050000,3.373156,4.602428,3.637249,0.643402,-0.142579,-0.034196,4.924136
0.050000,3.379708,4.571302,3.669057,0.636165,-0.144739,-0.043204,4.915663
0.050000,3.385929,4.540481,3.700499,0.628845,-0.146396,-0.033150,4.907455
0.050000,3.391830,4.509975,3.731571,0.621442,-0.148054,-0.033159,4.899504
0.050000,3.397424,4.479791,3.762269,0.613952,-0.149794,-0.034800,4.891802
0.050000,3.402723,4.449938,3.792588,0.606382,-0.151413,-0.032372,4.884339
0.050000,3.407738,4.420425,3.822525,0.598736,-0.152909,-0.029925,4.877108
0.050000,3.412481,4.391257,3.852075,0.591010,-0.154517,-0.032163,4.870102
0.050000,3.416963,4.362444,3.881236,0.583206,-0.156085,-0.031356,4.863314
0.050000,3.421195,4.333989,3.910003,0.575349,-0.157141,-0.021120,4.856736
0.050000,3.425186,4.305901,3.938374,0.567409,-0.158793,-0.033036,4.850362
0.050000,3.428947,4.278184,3.966344,0.559406,-0.160060,-0.025347,4.844185
0.050000,3.432488,4.250845,3.993911,0.551349,-0.161157,-0.021930,4.838199
0.050000,3.435817,4.223889,4.021073,0.543228,-0.162418,-0.025225,4.832398
0.050000,3.438945,4.197320,4.047825,0.535049,-0.163574,-0.023130,4.826776
0.050000,3.441880,4.171143,4.074166,0.526818,-0.164628,-0.021065,4.821328
0.050000,3.444631,4.145363,4.100093,0.518533,-0.165690,-0.021240,4.816049
0.050000,3.447205,4.119984,4.125602,0.510181,-0.167048,-0.027168,4.810933
0.050000,3.449612,4.095009,4.150692,0.501812,-0.167378,-0.006594,4.805975
0.050000,3.451858,4.070443,4.175360,0.493360,-0.169042,-0.033294,4.801171
0.050000,3.453951,4.046289,4.199605,0.484894,-0.169320,-0.005545,4.796516
0.050000,3.455899,4.022550,4.223424,0.476376,-0.170346,-0.020533,4.792006
0.050000,3.457708,3.999230,4.246814,0.467802,-0.171492,-0.022915,4.787638
0.050000,3.459386,3.976331,4.269774,0.459202,-0.171991,-0.009979,4.783406
0.050000,3.460938,3.953857,4.292302,0.450565,-0.172741,-0.014994,4.779307
0.050000,3.462372,3.931809,4.314397,0.441885,-0.173602,-0.017230,4.775337
0.050000,3.463693,3.910191,4.336055,0.433167,-0.174357,-0.015089,4.771494
0.050000,3.464907,3.889004,4.357277,0.424429,-0.174760,-0.008072,4.767773
0.050000,3.466020,3.868251,4.378059,0.415658,-0.175430,-0.013393,4.764172
0.050000,3.467037,3.847935,4.398401,0.406838,-0.176406,-0.019519,4.760687
0.050000,3.467964,3.828056,4.418302,0.398010,-0.176557,-0.003014,4.757316
0.050000,3.468806,3.808617,4.437759,0.389147,-0.177247,-0.013812,4.754055
0.050000,3.469568,3.789620,4.456771,0.380243,-0.178090,-0.016854,4.750902
0.050000,3.470255,3.771066,4.475338,0.371330,-0.178260,-0.003398,4.747854
0.050000,3.470871,3.752957,4.493457,0.362389,-0.178820,-0.011196,4.744910
0.050000,3.471420,3.735295,4.511128,0.353423,-0.179315,-0.009912,4.742065
0.050000,3.471907,3.718080,4.528350,0.344436,-0.179748,-0.008653,4.739320
0.050000,3.472337,3.701314,4.545122,0.335430,-0.180119,-0.007419,4.736670
0.050000,3.472712,3.684998,4.561441,0.326390,-0.180801,-0.013642,4.734114
0.050000,3.473037,3.669135,4.577308,0.317337,-0.181050,-0.004976,4.731650
0.050000,3.473316,3.653723,4.592722,0.308284,-0.181066,-0.000324,4.729277
0.050000,3.473551,3.638766,4.607681,0.299173,-0.182221,-0.023099,4.726992
0.050000,3.473747,3.624264,4.622185,0.290085,-0.181753,0.009361,4.724794
0.050000,3.473907,3.610216,4.636233,0.280959,-0.182517,-0.015284,4.722680
0.050000,3.474033,3.596626,4.649824,0.271816,-0.182869,-0.007045,4.720650
0.050000,3.474128,3.583493,4.662957,0.262669,-0.182945,-0.001508,4.718703
0.050000,3.474196,3.570818,4.675633,0.253504,-0.183297,-0.007052,4.716835
0.050000,3.474240,3.558602,4.687849,0.244324,-0.183598,-0.006018,4.715047
0.050000,3.474261,3.546845,4.699605,0.235132,-0.183848,-0.004999,4.713337
0.050000,3.474262,3.535549,4.710902,0.225929,-0.184048,-0.003996,4.711703
